department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
SET,910260.0,SESE20172,,"Multimedia Design Practice(4)
",多媒體設計專題實作(4),Unlimited,0.0,M567-,1.0,3.0,蔡宗憲,Required
SET,910261.0,SESE20173,,"IoT System Practice (4)
",物聯網系統專題實作(4),Unlimited,0.0,M567-,1.0,3.0,楊婷婷,Required
SET,910262.0,SESE20174,,"Software Security
",軟體安全,Unlimited,0.0,T678-,3.0,3.0,賴泰宏,Elective
SET,910263.0,SESE20175,,"Systems Engineering
",系統工程,Unlimited,0.0,T234-,3.0,3.0,系統工程,Elective
SET,910264.0,SESE20176,,"Network Management
",網路管理,Unlimited,0.0,W678-,3.0,3.0,系統工程,Elective
SET,910265.0,SESE20177,,"Artificial Intelligence
",人工智慧,Unlimited,0.0,R234-,3.0,3.0,系統工程,Elective
SET,910266.0,SESE10053,,"General Chemistry Laboratory
",普通化學實驗,Unlimited,0.0,M89-,1.0,2.0,游竹淋,Required
SET,910267.0,SESE10053,,"General Chemistry Laboratory
",普通化學實驗,Unlimited,0.0,M67-,1.0,2.0,游竹淋,Required
SET,910268.0,SESE10238,,"General Chemistry(2)
",普通化學(2),Unlimited,0.0,F234-,3.0,3.0,王志嘉,Elective
SET,910269.0,SESE10051,,"General Chemistry
",普通化學,Unlimited,0.0,Mabc-,3.0,3.0,鄭根發,Required
SET,910270.0,SESE00038,,"Service Learning (I)
",服務學習 (1),Unlimited,0.0,T1-,0.0,1.0,系統工程,Required
SET,910271.0,SESE10128,,"Signal and System
",訊號與系統,Unlimited,0.0,T12W1-,3.0,3.0,蘇英俊,Required
SET,910272.0,SESE20029,,"Digital Signal Processing
",數位訊號處理,Unlimited,0.0,M349-,3.0,3.0,蘇英俊,Elective
SET,910273.0,SESE20178,,"Introduction to software defined radio
",軟體無線電導論,Unlimited,0.0,Tabc-,3.0,3.0,蘇英俊,Elective
SET,910274.0,SESE10231,,"Engineering Mathematics(2)
",工程數學(2),Unlimited,0.0,M678-,3.0,3.0,杜博仁,Required
SET,910275.0,SESE10204,,"Underwater Acoustics
",水中聲學,Unlimited,0.0,Tabc-,3.0,3.0,系統工程,Elective
SET,910276.0,SESE20179,,"Introduction to Microwave Engineering
",微波工程,Unlimited,25.0,Tabc-,3.0,3.0,李志國,Required
SET,910277.0,SESE10164,,"Electromagnetics
",電磁學,Unlimited,0.0,F234-,3.0,3.0,李志國,Required
SET,910278.0,SESE10164,,"Electromagnetics
",電磁學,Unlimited,25.0,T678-,3.0,3.0,李志國,Required
SET,910279.0,SESE20180,,"Communication system experiment
",通訊系統實驗,Unlimited,25.0,W234-,3.0,3.0,聶若鹽、余俊宏,Required
SET,910280.0,SESE10128,,"Signal and System
",訊號與系統,Unlimited,25.0,T12W1-,3.0,3.0,聶若鹽,Required
SET,910281.0,SESE20065,,"Electromagnetic Theory
",電磁理論,Unlimited,0.0,Mabc-,3.0,3.0,黃宗煥,Elective
SET,910282.0,SESE20181,,"Communication Electronics
",通訊電子學,Unlimited,0.0,Tabc-,3.0,3.0,系統工程,Elective
